ticker,tipo,cantidad,precio_compra,moneda_compra,fecha_compra
TXAR,accion_ar,145,740.64,ARS,2025-12-01
YPFD,accion_ar,2,50975.00,ARS,2025-10-27
AE38,bono,83,1030.73,ARS,2025-10-27
FXI,cedear,15,11729.33,ARS,2025-12-24
LMT,cedear,7,34602.14,ARS,2025-11-17
MELI,cedear,8,26160.00,ARS,2025-11-27
META,cedear,4,41151.36,ARS,2025-12-01
PFE,cedear,6,9680.00,ARS,2026-05-08
TM,cedear,7,22011.43,ARS,2025-12-24
V,cedear,5,29241.47,ARS,2026-01-28
